Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating,Synopsys
2,18,25,E. Peterbus Unum,Rob Renzetti,"Chong Lee, Jeff Stewart",Neil Goldman & Garrett Donovan,"Ron Brewer, Brandon Strathmann",None,"Peter Griffin, Mayor Adam West, Joe Swanson","Meg, Stewie, Chris, Lois Griffin, Brian, Josiah Griffin, Ulysses S. Griffin, Woodsy Owl, Tom Tucker, Diane Simmons, Tricia Takanawa, Cleveland Brown, Glenn Quagmire, Rupert, Muammar al-Gaddafi, Slobodan Milošević, MC Hammer, Bill Clinton, La Toya Jackson, Saddam Hussein, Fidel Castro, Idi Amin, Kim Jong-il",Can't Touch Me,"July 12, 2000",2ACX13,5.5,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.1,"While confronting the mayor about zoning issues around his house, Peter discovers that his house is not anywhere on the map, prompting him to secede his house from the rest of the United States, creating the country ""Petoria"". His country gains no respect, so he invades the U.S. and annexes Joe's pool."
2,19,26,The Story on Page One,Gavin Dell,Brett Varon,Craig Hoffman,"Shavonne Cherry, Gabriel DeFrancisco",Luke Perry,"Meg Griffin, Peter Griffin","Lois, Stewie, Chris, Brian, Sherry, Anus, Thomas Jefferson, Ricky Martin, Jewel, Neil Goldman, Mayor Adam West, Luke Perry",Puttin' on the Ritz,"July 18, 2000",2ACX14,5.66,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4,"Meg signs up for the high school newspaper club as Brown University's academic requirement, but Peter replaces her original article with one about Luke Perry's supposed homosexuality. This lands Meg in hot legal water with Perry, so Peter decides to ""prove"" that the actor is gay."
2,20,27,Wasted Talent,Bert Ring,Eric Fredrickson,Story by: Dave Collard & Ken Goin; Teleplay by : Mike Barker & Matt Weitzman\,"Susan Crossley, Joe Denton, Art Mawhinney","Michael McKean, Adam Carolla","Peter Griffin, Lois Griffin, Alexis Radcliffe","Brian, Meg, Chris, Stewie, Quagmire, Death, Pawtucket Pat, Chumbawumbas, Tom Tucker, Diane Simmons, Tricia Takanawa, Mayor Adam West, Cleveland Brown, Joe Swanson, Bonnie Swanson, Kevin Swanson, Johnson, The Nelsons, Jonas, Jimmy the Piano Player, Dr. Gary Miller, Dr. Fred Rubin, Horace, The Great Gazoo, Cap’n Crunch, Barbra Streisand, James Brolin, Cheech Marin, Tony Randall, Mary Richards","Pure Inebriation, The Choomba Woomba Song","July 25, 2000",2ACX15,6.82,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.1,"Peter wins a tour of a magical brewery owned by Pawtucket Pat (à la Charlie and the Chocolate Factory and its film adaptation), while Lois desperately searches for a talented piano player to beat her rival at an upcoming talent competition, finding one in the form of her husband, who can only play professionally when he's drunk."
2,21,28,"Fore, Father",Scott Wood,Kurt Dumas,Bobby Bowman,"Kurt Dumas, Won Ki Cho, Brandon Kruse, Greg Lovell",None,"Peter Griffin, Cleveland Brown, Jr., Chris Griffin","Stewie, Brian, Lois, Meg, Cleveland, Glenn Quagmire, Joe Swanson, Kevin Swanson, Rupert, Evil Monkey, Paddy Tanniger, Tom Tucker, Robot Peter, Mrs. Quagmire, Christof","Hic-A-Doo-La!, Theme to Surfside 6, Honeycomb Jingle","August 1, 2000",2ACX16,6.15,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"Peter thinks his son lacks responsibility, so he gets him a job at a golf course. However, when he discovers that Cleveland's son has the potential to become a pro golf player, he forsakes Chris to train the hyperactive Cleveland Jr. instead. Discouraged, Chris finds a new father figure in Quagmire."
3,1,29,The Thin White Line,Glen Hill,Kuni Tomita,Steve Callaghan,"Aldin Baroza, Greg Lovell, Stephen Sandoval","Leif Garrett, June Foray","Brian, Peter Griffin","Lois, Chris, Meg, Stewie, Joe Swanson, Greased-up Deaf Guy, Bonnie Swanson, Glenn Quagmire, Cleveland Brown, Mr. Weed, Johnson, Loretta Brown, Derek and John, Rocky The Flying Squirrel, Tina, Horowitz, Jasper, Toucan Sam, Dr. Bruce Kaplan","I'm The Greatest Captain, Charles in Charge theme, Hot Hot Hot, Peter's Tie","July 11, 2001",2ACX17,5.99,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8,"Peter wins the Griffin family a cruise after winning a company competition. Shortly before the family prepares to leave, Joe recognizes the sensitivity of Brian's nose and offers him a job detecting drugs as a police sniffer dog. At the airport, Brian uncovers a bystander carrying cocaine; however, he accidentally inhales it and becomes addicted to it, with him becoming diritier and more hostile towards his family. Eventually, the family stages an intervention for Brian with his psychiatrist, during which he has an emotional breakdown. The family compromises on sending him to rehab with their vacation money. Peter joins Brian since he now cannot go on vacation, and the two cause unrest among their fellow patients by causing premature births in pregnant teens. After the two are caught, Peter is accused of being Brian's ""x-factor""; however, Brian manages to defend him and decides to leave the center. The Griffins throw a party to celebrate Brian's return, but are shocked when he announces that he is leaving Quahog to continue the search for the thrill of his life."
3,2,30,Brian Does Hollywood,Gavin Dell,Brett Varon,Gary Janetti,"Brett Varon, Joe Denton, Susan Crossley","Jenna Jameson, Ron Jeremy, Ray Liotta","Brian, Jasper, Stewie Griffin","Peter, Lois, Chris, Meg, Ricardo, Ron Jeremy, Samuel L. Jackson, Jenna Jameson, Joan Rivers, Melissa Rivers, Bill Cosby, Michael Eisner, Keanu Reeves, Ron Jones, Walter Murphy, John Williams, Zack, Charles Manson, Val Kilmer, Kevin Costner, Paul",None,"July 18, 2001",2ACX20,6.1,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"Brian moves to Los Angeles with his cousin Jasper after his drug rehabilitation and inadvertently becomes a film director. The family decides to visit Brian for support in his new career; however, when it turns out Brian is directing pornography, he attempts to keep it a secret from the family. Meanwhile, Stewie auditions for Kids Say the Darndest Things in order to unleash a mass hypnosis; however, during the show the following night, host Bill Cosby grabs Stewie's device and unwittingly foils his plan. Elsewhere, Brian is nominated for Best Director at the Woody Awards for adult films; Jasper informs the Griffin family about Brian's job and attend the awards, much to Brian's relief. By the end of the episode, he decides to return to Quahog with his family."
3,3,31,Mr. Griffin Goes to Washington,Brian Hogan,Young Lee,Ricky Blitt,"Aldin Baroza, Won Ki Cho, Bob Foster, Brandon Kruse, Stephen Sandoval, Jeff Stewart","Alyssa Milano, Brian Doyle-Murray, Jack Sheldon","Peter Griffin, Lois Griffin, Stewie Griffin","Meg, Chris, Brian, Jeremy the Terminally ill Boy, Kenneth, Mr. Weed, Johnson, Connor, Jerry, Bobby, Frank, Mr. Harrison, The Bill, Dilbert, Aunt Bea, Lassie and Timmy, Bob Dole, Dick Armey, Al Gore, George W. Bush, Mike Tyson, Martha Stewart, Jim Carrey, Boston Red Sox, New York Yankees, Alyssa Milano, Joel","That Guy, They Call Me Bill","July 25, 2001",2ACX11,6.17,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5,"The Happy-Go-Lucky Toy Factory is purchased by a tobacco conglomerate. Lois develops concern for Peter and believes the company is promoting underage smoking; Peter attempts to confront management, but is distractingly appointed president in the process; the family is pampered and treated elegantly as a result. At a meeting, the company decides to send Peter to Washington, D.C. in order to prevent a new anti-smoking bill from being passed into Congress. At home, Lois catches Stewie smoking and attempts to take the family to the meeting in Washington; although Peter prepares to deliver his speech on the floors of Congress assembled, he spots Stewie coughing from smoking and tells Congress to reject El Dorado's proposal. When they agree, El Dorado is fined as a result, driving the company to bankruptcy."
3,4,32,"One If by Clam, Two If by Sea",Dan Povenmire,Sarah Frost,Jim Bernstein & Michael Shipley,"Shavonne Cherry, Gabriel DeFrancisco, Sarah Frost",Ed Asner,"Peter Griffin, Lois Griffin, Nigel Pinchley, Stewie Griffin, Eliza Pinchley","Meg, Chris, Brian, Cleveland, Joe, Quagmire, Bonnie Swanson, Loretta Brown, Horace, Tom Tucker, Diane Simmons, God, Tricia Takanawa, Rupert, Maria Jimenez, Greg the Weather Mime, Steve Bellows, Carrothers, Eric, Queen Elizabeth II, Demond Wilson",Life of the Wife,"August 1, 2001",2ACX19,5.82,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"A hurricane demolishes the majority of the buildings in Quahog—except the Drunken Clam; however, the bar's owner leaves for Florida sells it to an Englishman named Nigel Pinchley, who turns it into a British stereotypical pub. Upset over the loss of their favorite bar and failing to find another one, Peter, Quagmire, Cleveland, and Joe storm a British ship in an attempt to recreate the Boston Tea Party with beer. The following night, the pub burns down; Peter, Quagmire, Cleveland, and Joe are blamed and thrown in jail. In prison, one of the toughest criminals Joe ever jailed, Steve Bellows, plans to kill him and the others at midnight on Saturday. Meanwhile, in a parody of My Fair Lady, Stewie tries to teach Nigel's daughter, Eliza, to speak ""proper"" English and overcome her ""common"" Cockney accent as part of a bet with Brian; although he manages to teach her how to speak ""properly"", at the party, she urinates in front of everybody, slipping back to her Cockney accent and making Stewie lose the bet. Lois, Bonnie, and Loretta decide to investigate the bar's destruction, and discover that Nigel had withdrawn a large amount of insurance money the day before the pub burned down, they become suspicious. Lois seduces Nigel into confessing, and his insurance agent discovers the entire story. In jail, Peter, Quagmire, Cleveland, and Joe are rescued before Steve has a chance to kill them, and the Drunken Clam is reinstated to its normal form. In London, Nigel is hanged and Eliza is sent to an orphanage."
3,5,33,And the Wiener Is...,Bert Ring,Eric Fredrickson,Mike Barker & Matt Weitzman,"Ron Brewer, Won Ki Cho, Brandon Strathmann",Patrick Duffy,"Peter Griffin, Chris Griffin, Meg Griffin, Connie DiMico","Lois, Stewie, Brian, Glenn Quagmire, Cleveland Brown, Joe Swanson, Kevin Swanson, Thelma Griffin, Mr. Berler, Gina, Bonnie Swanson, Andy Capp, Rudolph the Red Nosed Reindeer, Imperial Stormtrooper, Luke Skywalker, Jesus, Moses, Petey the Pistol, Doug the jock",Rocket Man,"August 8, 2001",2ACX22,5.4,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6,"Peter is intimidated by Chris' larger penis and then becomes very self-conscious about his own manhood, joining a gun club to make himself feel more masculine. Peter decides to take Chris on a hunting trip with his new gun, where the two are attacked by a bear; Chris manages to save both of them by making loud noises and jumping in front of the bear. Peter apologizes to Chris and realizes that being a man is about bravery and not size. Meanwhile, Meg tries out for cheerleading but is accepted into the flag girl squad instead, where she is pelted with rancid meat by several of the more popular children in her school. The next day, Lois instructs Meg to make friends with Connie D'Amico and prank her whenever the time is right. However, the plan fails when the popular kids trick Meg at Connie's sixteenth birthday, where they trick her into kissing a pig she thought was a popular boy. However, Lois and Meg have the last laugh when the former sends Quagmire to molest the teenagers."
3,6,34,Death Lives,Rob Renzetti,Jeff Stewart,Mike Henry,"Won Ki Cho, Brandon Kruse, Jeff Stewart","Adam Carolla, Peter Frampton, Estelle Harris","Peter Griffin, Death","Lois, Meg, Chris, Stewie, Brian, Death's Mother, Carter Pewterschmidt, Cleveland, Quagmire, Amy, Diane Simmons, Tom Tucker, Peter Frampton","Baby, I Love Your Way, Mopping","August 15, 2001",2ACX21,5.19,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8,"On their wedding anniversary, Peter sends Lois all over Quahog on a scavenger hunt so he can go play golf. But when Peter gets struck by lightning and has a near-death experience, he meets Death again, who explains to Peter his marriage is in trouble if he does not have a revelation, and fast."
3,7,35,Lethal Weapons,Brian Hogan,Young Lee,Chris Sheridan,"Young Lee, Michael Bennett, Ron Brewer, Brandon Strathmann",Michael Chiklis,"Lois Griffin, Peter Griffin","Brian, Chris, Meg, Stewie, Joe Swanson, Bonnie Swanson, Kevin Swanson, Glenn Quagmire, Cleveland Brown, Jared Fellows, Dr. Morin, Lucy van Pelt, General Zod, Ursa, Non, Mary Poppins, Michael and Jane Banks, New England Patriots, New York Jets, Pittsburgh Steelers, Keanu Reeves, Sandra Bullock, New York Mets, Father Sapienza‎‎",None,"August 22, 2001",2ACX18,5.92,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3,"Lois takes taijutsu lessons to fight back against the leafers (New York tourists) overtaking the town, but worries that her violence may be a bad influence on her family. When anger management only makes everyone even more angry, they engage in an all-out brawl to get it out of their system."
3,8,36,The Kiss Seen Around the World,Pete Michels,Brett Varon,Mark Hentemann,Eric Moxcey,"Hugh Downs, Abe Vigoda","Meg Griffin, Neil Goldman","Stewie, Peter, Lois, Chris, Brian, Tom Tucker, Diane Simmons, Connie D'Amico, Mr. Berler, Principal Shepherd, Elmer Hartman, Mayor Adam West, Mort Goldman, Muriel Goldman, Holden Caulfield, Charlie the Bully, Mass Media Murderer, William Shatner, Gorn, Fred Lubbins, Mr. Lazenby, Al Calavicci, Abe Vigoda, Hugh Downs, Christopher Columbus, God",None,"August 29, 2001",3ACX02,6.46,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.7,"Meg applies for an internship at Quahog 5 (due to her crush on news anchor Tom Tucker), but so does the annoying Neil. When she is reluctantly driven to kiss Neil, he broadcasts the word of their ""love"" on the news. Meanwhile, a bully learns not to mess with Stewie when he steals his new tricycle, and a man embarrasses Peter by calling him a phony wherever he goes."
3,9,37,Mr. Saturday Knight,Michael Dante DiMartino,"Shawn Palmer, Cyndi Tang",Steve Callaghan,Brent Woods,"Will Ferrell, R. Lee Ermey, Adam Carolla, Jimmy Kimmel","Peter Griffin, Mr. Weed, The Black Knight","Lois, Brian, Meg, Stewie, Chris, Ollie Williams, Death, Death's Dog, Johnson, Mort Goldman, Bruce, Jimmy Hopkins, Danielle, Rupert, Tom Tucker, Diane Simmons, Tricia Takanawa, Leonard Hale, Margot Kidder, Richard Dawson, Gene Rayburn, Betty White, Charles Nelson Reilly, Brett Somers, Maid Madeline, Barbara","So Long, Farewell","September 5, 2001",3ACX04,5.77,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4,"Peter's boss, Mr. Weed, dies during a dinner with the Griffin family, and the toy factory is demolished as a result. Now unemployed, and failing to find himself other jobs, Peter decides to live his dream of being a Renaissance fair jouster, where he must defend his family's honor from his former idol."
